# epoch	train_loss	dev_loss	dev_score	best_dev_score
5	0.035697	0.0904	0.0904
new best model saved at epoch 5: 11.91	2.69	25.35	9.04
10	0.028416	0.1805	0.1805
new best model saved at epoch 10: 18.78	7.74	63.70	18.05
15	0.025329	0.1729	0.1805
20	0.024088	0.1954	0.1954
new best model saved at epoch 20: 20.84	8.83	63.37	19.54
25	0.023437	0.1782	0.1954
30	0.022738	0.2011	0.2011
new best model saved at epoch 30: 21.28	9.25	64.34	20.11
35	0.021738	0.1916	0.2011
40	0.020540	0.1910	0.2011
45	0.019969	0.2107	0.2107
new best model saved at epoch 45: 22.23	9.72	67.91	21.07
50	0.019605	0.2142	0.2142
new best model saved at epoch 50: 22.43	9.93	69.56	21.42
55	0.019109	0.2082	0.2142
60	0.018658	0.1985	0.2142
65	0.018865	0.2084	0.2142
70	0.018652	0.2213	0.2213
new best model saved at epoch 70: 23.02	10.40	70.83	22.13
75	0.018423	0.2159	0.2213
80	0.018367	0.2179	0.2213
85	0.018145	0.2219	0.2219
new best model saved at epoch 85: 22.95	10.43	70.58	22.19
90	0.017783	0.2148	0.2219
95	0.017662	0.2258	0.2258
new best model saved at epoch 95: 23.35	10.57	72.20	22.58
100	0.018446	0.2194	0.2258
105	0.017801	0.2276	0.2276
new best model saved at epoch 105: 23.46	10.85	73.10	22.76
110	0.017639	0.2187	0.2276
115	0.017275	0.2244	0.2276
120	0.017164	0.2214	0.2276
125	0.017017	0.2204	0.2276
130	0.017072	0.2261	0.2276
135	0.018488	0.2247	0.2276
140	0.016858	0.2208	0.2276
145	0.016751	0.2223	0.2276
150	0.016765	0.2277	0.2277
new best model saved at epoch 150: 23.57	10.87	72.05	22.77
155	0.016606	0.2318	0.2318
new best model saved at epoch 155: 24.04	11.05	73.58	23.18
160	0.016784	0.2138	0.2318
165	0.016541	0.2291	0.2318
170	0.016515	0.2250	0.2318
175	0.016414	0.2272	0.2318
180	0.016297	0.2277	0.2318
185	0.016201	0.2297	0.2318
190	0.016331	0.2241	0.2318
195	0.016120	0.2289	0.2318
200	0.015914	0.2312	0.2318
205	0.015708	0.2257	0.2318
210	0.015841	0.2310	0.2318
215	0.015954	0.2309	0.2318
220	0.015715	0.2295	0.2318
225	0.015584	0.2297	0.2318
230	0.015715	0.2310	0.2318
235	0.015286	0.2326	0.2326
new best model saved at epoch 235: 24.62	11.07	71.37	23.26
240	0.015619	0.2326	0.2326
245	0.015291	0.2309	0.2326
250	0.015158	0.2360	0.2360
new best model saved at epoch 250: 24.82	11.28	73.55	23.60
255	0.015073	0.2366	0.2366
new best model saved at epoch 255: 24.86	11.34	73.16	23.66
260	0.015062	0.2328	0.2366
265	0.015183	0.2313	0.2366
270	0.014927	0.2360	0.2366
275	0.014785	0.2307	0.2366
280	0.014995	0.2358	0.2366
285	0.014917	0.2336	0.2366
290	0.014688	0.2356	0.2366
295	0.014826	0.2348	0.2366
300	0.014827	0.2339	0.2366
305	0.014823	0.2324	0.2366
310	0.014763	0.2328	0.2366
315	0.014418	0.2355	0.2366
320	0.014422	0.2385	0.2385
new best model saved at epoch 320: 24.78	11.47	74.32	23.85
325	0.014406	0.2399	0.2399
new best model saved at epoch 325: 24.72	11.60	74.09	23.99
330	0.014313	0.2362	0.2399
335	0.014443	0.2352	0.2399
